,0 to 17,18 to 64,65 or Older,Under Investigation or Not Otherwise Listed*
2020-03-28,0,12,25,0
2020-03-29,0,13,31,0
2020-03-30,0,17,37,0
2020-03-31,0,19,47,0
2020-04-01,0,20,59,0
2020-04-02,0,24,67,0
2020-04-03,0,35,84,0
2020-04-04,0,38,94,0
2020-04-05,0,41,106,0
2020-04-06,0,47,125,0
2020-04-07,0,56,143,0
2020-04-08,0,62,160,0
2020-04-09,0,70,170,1
2020-04-10,0,72,192,3
2020-04-11,0,78,218,3
2020-04-12,0,90,229,5
2020-04-13,0,99,254,10
2020-04-14,0,111,277,13
2020-04-15,0,120,320,15
2020-04-16,0,130,348,17
2020-04-17,0,149,404,23
2020-04-18,0,156,421,24
2020-04-19,0,159,434,24
2020-04-20,0,165,467,31
2020-04-21,0,180,515,34
2020-04-22,0,194,565,37
2020-04-23,0,202,607,38
2020-04-24,0,211,644,40
2020-04-25,0,216,657,41
2020-04-26,0,219,681,43
2020-04-27,0,236,717,47
2020-04-28,0,247,758,51
2020-04-29,0,258,793,60
2020-04-30,0,277,887,7
2020-05-01,0,277,909,22
2020-05-02,0,280,925,23
2020-05-03,0,284,948,23
2020-05-04,0,295,994,23
2020-05-05,0,308,1035,24
2020-05-06,0,315,1102,0
2020-05-07,0,325,1143,0
2020-05-08,0,333,1177,2
2020-05-09,0,336,1189,5
2020-05-10,0,341,1221,6
2020-05-11,0,349,1256,7
2020-05-12,0,359,1289,10
2020-05-13,0,371,1326,11
2020-05-14,0,376,1361,16
2020-05-15,0,385,1394,13
2020-05-16,0,390,1418,13
2020-05-17,0,394,1437,6
2020-05-18,0,415,1491,7
2020-05-19,0,429,1524,17
2020-05-20,0,440,1554,20
2020-05-21,0,445,1579,25
2020-05-22,0,453,1610,27
2020-05-23,0,455,1620,29
2020-05-24,0,458,1630,28
2020-05-25,0,465,1649,28
2020-05-26,0,482,1711,0
2020-05-27,0,493,1748,0
2020-05-28,0,509,1781,0
2020-05-29,0,517,1816,4
2020-05-30,0,526,1832,4
2020-05-31,0,532,1848,4
2020-06-01,0,550,1887,6
2020-06-02,0,555,1921,11
2020-06-03,0,572,1948,11
2020-06-04,0,582,1971,12
2020-06-05,0,600,2006,14
2020-06-06,0,606,2021,18
2020-06-07,0,607,2025,23
2020-06-08,0,624,2063,20
2020-06-09,0,654,2114,-1
2020-06-10,0,668,2145,0
2020-06-11,0,669,2158,5
2020-06-12,0,689,2194,7
2020-06-13,0,694,2202,11
2020-06-14,0,699,2216,11
2020-06-15,0,708,2240,11
2020-06-16,0,716,2262,13
2020-06-17,0,724,2290,13
2020-06-18,0,731,2319,13
