,American Indian or Alaska Native,Asian,Black,Hispanic/Latino,Native Hawaiian or Pacific Islander,White,Other,Under Investigation or Not Otherwise Listed*
3/17/20,0,0,0,0,0,0,0,189
3/18/20,0,0,0,0,0,0,0,229
3/19/20,0,0,0,0,0,0,0,290
3/20/20,0,0,0,0,0,0,0,340
3/21/20,0,0,0,0,0,0,0,408
3/22/20,0,0,0,0,0,0,0,534
3/23/20,0,0,0,0,0,0,0,661
3/24/20,0,0,0,0,0,0,0,795
3/25/20,0,0,0,0,0,0,0,1208
3/26/20,0,0,0,0,0,0,0,1460
3/27/20,0,0,0,0,0,0,0,1804
3/28/20,0,0,0,0,0,0,0,2132
3/29/20,0,0,0,0,0,0,0,2478
3/30/20,0,0,0,0,0,0,0,3005
3/31/20,0,0,0,0,0,0,0,3511
4/1/20,0,0,0,0,0,0,0,4057
4/2/20,0,0,0,0,0,0,0,4578
4/3/20,0,0,0,0,0,0,0,5289
4/4/20,0,0,0,0,0,0,0,5954
4/5/20,0,0,0,0,0,0,0,6360
4/6/20,0,0,0,0,0,0,0,6918
4/7/20,0,0,0,0,0,0,0,7544
4/8/20,0,508,413,1545,0,1264,631,3607
4/9/20,0,526,429,1621,0,1292,655,3894
4/10/20,0,589,460,1869,0,1399,661,3891
4/11/20,0,666,493,2169,0,1504,656,3693
4/12/20,0,716,548,2411,0,1618,677,3454
4/13/20,0,779,590,2680,0,1788,736,3466
4/14/20,0,811,617,2855,0,1887,753,3534
4/15/20,0,862,645,3084,0,1970,744,3519
4/16/20,0,922,684,3326,0,2047,788,3612
4/17/20,0,992,760,3569,0,2162,887,3637
4/18/20,0,1020,787,3738,0,2203,879,3706
4/19/20,0,1074,824,3959,0,2311,879,4693
4/20/20,0,1136,876,4319,0,2432,965,5389
4/21/20,0,1194,898,4602,0,2517,970,6246
4/22/20,12,1228,925,4757,172,2584,813,6991
4/23/20,12,1266,949,4985,182,2639,850,7617
4/24/20,12,1244,979,5158,182,2681,887,7945
4/25/20,12,1330,988,5226,186,2728,923,8153
4/26/20,12,1352,994,5339,187,2763,926,8806
4/27/20,13,1417,1053,5591,195,2923,1000,8752
4/28/20,13,1487,1096,6083,206,3043,1019,9502
4/29/20,13,1515,1113,6259,209,3088,1046,9939
4/30/20,13,1645,1193,7180,214,3278,1050,9630
5/1/20,13,1704,1223,7621,219,3386,1076,9639
5/2/20,13,1724,1233,7710,219,3421,1101,10228
5/3/20,14,1815,1290,8421,223,3555,1189,9670
5/4/20,15,1868,1329,8648,219,3645,1224,10845
5/5/20,16,1916,1388,8844,221,3766,1242,11219
5/6/20,16,1952,1410,9059,224,3814,1260,11678
5/7/20,16,2003,1458,9500,229,3900,1287,11793
5/8/20,18,2077,1491,9725,234,3968,1330,12350
5/9/20,19,2109,1508,9941,235,4047,1352,12456
5/10/20,19,2149,1541,10249,242,4105,1365,12549
5/11/20,19,2245,1577,10790,248,4375,1396,12514
5/12/20,20,2316,1638,11683,279,4581,1465,12422
5/13/20,21,2417,1736,12243,283,4645,1476,12476
5/14/20,23,2578,1756,12990,285,4835,1486,12277
5/15/20,27,2704,1802,13187,289,4913,1530,12828
5/16/20,27,2712,1844,13514,298,5179,1557,12843
5/17/20,28,2770,1894,13758,300,5299,1591,12750
5/18/20,29,2802,1917,14242,300,5413,1605,13225
5/19/20,30,2866,1946,14821,304,5581,1717,13568
5/20/20,31,2895,1963,15122,305,5655,1806,14260
5/21/20,31,2926,1999,15444,305,5737,1896,14714
5/22/20,31,2954,2015,15865,305,5802,2233,14850
5/23/20,36,3008,2044,16192,305,5901,2482,14983
5/24/20,37,3059,2109,16453,305,5973,2795,15248
5/25/20,41,3112,2131,17259,311,6072,3283,15599
5/26/20,42,3143,2155,17691,313,6122,3745,15469
5/27/20,42,3153,2161,17816,313,6157,4139,15993
5/28/20,45,3306,2255,18450,321,6276,4549,16360
5/29/20,50,3352,2331,19420,325,6602,5126,16411
5/30/20,51,3370,2364,19607,329,6649,5581,17039
5/31/20,53,3417,2415,19876,333,6805,5954,17063
6/1/20,54,3445,2456,20062,333,6876,6414,17439
6/2/20,56,3480,2477,20373,333,7012,6712,17738
6/3/20,57,3553,2505,20983,333,7113,6841,18265
6/4/20,57,3591,2538,21440,333,7194,6995,18897
6/5/20,58,3645,2565,22330,333,7292,7223,18892
6/6/20,59,3664,2578,23422,335,7322,7437,19004
6/7/20,59,3676,2588,23518,338,7348,7768,19349
6/8/20,59,3692,2605,24146,340,7413,7997,19570
6/9/20,60,3742,2664,25277,321,7542,8241,19171
6/10/20,60,3755,2676,25421,323,7591,8471,20578
6/11/20,61,3799,2710,26027,329,7667,8821,21062
