,Female,Male,Other,Under Investigation or Not Otherwise Listed*
2020-03-17,57,102,0,30
2020-03-18,62,111,0,56
2020-03-19,69,123,0,98
2020-03-20,97,166,0,77
2020-03-21,105,166,0,137
2020-03-22,129,178,0,227
2020-03-23,173,225,0,263
2020-03-24,209,279,0,307
2020-03-25,272,346,0,590
2020-03-26,331,412,0,717
2020-03-27,407,509,0,888
2020-03-28,446,538,0,1148
2020-03-29,1010,1268,0,200
2020-03-30,1260,1513,0,232
2020-03-31,1549,1840,0,122
2020-04-01,1804,2103,0,150
2020-04-02,2038,2361,0,179
2020-04-03,2364,2723,0,202
2020-04-04,2634,2981,0,339
2020-04-05,2850,3164,0,346
2020-04-06,3085,3395,0,438
2020-04-07,3379,3651,0,514
2020-04-08,3601,3874,1,492
2020-04-09,3855,4095,2,465
2020-04-10,4085,4298,2,484
2020-04-11,4286,4483,2,410
2020-04-12,4407,4590,2,425
2020-04-13,4687,4848,3,501
2020-04-14,4880,5062,3,512
2020-04-15,5040,5251,3,530
2020-04-16,5327,5483,3,566
2020-04-17,5641,5786,3,577
2020-04-18,5931,6069,3,330
2020-04-19,6631,6776,3,330
2020-04-20,7439,7525,5,148
2020-04-21,8097,8180,5,145
2020-04-22,8655,8661,5,161
2020-04-23,9201,9126,5,168
2020-04-24,9512,9397,12,167
2020-04-25,9724,9617,5,200
2020-04-26,10163,10025,5,186
2020-04-27,10483,10303,5,153
2020-04-28,11096,11186,5,162
2020-04-29,11442,11554,5,181
2020-04-30,11986,12038,5,174
2020-05-01,12329,12359,6,187
2020-05-02,12702,12705,6,236
2020-05-03,12969,12972,6,230
2020-05-04,13838,13718,6,231
2020-05-05,14259,14115,7,231
2020-05-06,14645,14509,7,252
2020-05-07,14998,14937,7,244
2020-05-08,15492,15439,7,255
2020-05-09,15723,15683,7,254
2020-05-10,16007,15946,7,259
2020-05-11,16469,16430,7,258
2020-05-12,17070,17052,9,273
2020-05-13,17465,17548,9,275
2020-05-14,17894,17983,9,344
2020-05-15,18417,18562,9,292
2020-05-16,18714,18888,9,363
2020-05-17,18971,19132,9,278
2020-05-18,19536,19711,9,277
2020-05-19,20155,20386,9,283
2020-05-20,20783,20937,9,308
2020-05-21,21284,21354,10,404
2020-05-22,21783,21823,10,439
2020-05-23,22227,22230,10,504
2020-05-24,22808,22854,10,307
2020-05-25,23740,23708,10,309
2020-05-26,24208,24157,10,305
2020-05-27,24668,24698,10,398
2020-05-28,25540,25682,10,330
2020-05-29,26481,26683,10,443
2020-05-30,27179,27469,10,332
2020-05-31,27634,27962,10,310
2020-06-01,28135,28573,10,361
2020-06-02,28683,29164,10,324
2020-06-03,29402,29871,10,367
2020-06-04,29952,30682,10,401
2020-06-05,30487,31403,10,438
2020-06-06,31251,32217,10,343
2020-06-07,31685,32594,10,355
2020-06-08,32238,33159,10,415
2020-06-09,32893,33768,10,347
2020-06-10,33814,34653,10,398
2020-06-11,34651,35456,10,359
2020-06-12,35374,36204,10,427
2020-06-13,35934,36694,10,380
2020-06-14,36349,37060,10,372
2020-06-15,37011,37694,10,369
2020-06-16,38006,38754,10,419
2020-06-17,38572,39315,10,330
2020-06-18,39270,39987,10,342
2020-06-19,40217,40959,11,426
2020-06-20,41153,41815,11,418
2020-06-21,42450,43018,10,464
2020-06-22,43571,44124,10,557
2020-06-23,44064,44581,10,800
2020-06-24,45313,45711,10,433
2020-06-25,46223,46557,10,442
2020-06-26,47275,47595,12,489
2020-06-27,48515,48849,12,518
2020-06-28,49964,50253,12,543
2020-06-29,51362,51639,12,516
2020-06-30,52148,52435,12,868
2020-07-01,53370,53544,17,736
2020-07-02,53370,53544,17,3379
2020-07-03,53370,53544,17,6566
2020-07-04,57118,57277,17,581
2020-07-05,57919,58050,17,584
2020-07-06,59931,59966,17,625
2020-07-07,61190,61126,17,671
2020-07-08,62038,62048,12,640
2020-07-09,63199,63222,12,925
2020-07-10,64620,64579,17,1026
2020-07-11,66534,66302,20,693
2020-07-12,67876,67471,28,754
2020-07-13,69912,69350,38,1007
2020-07-14,71405,70731,45,695
2020-07-15,73659,72846,48,915
2020-07-16,75008,74099,51,1161
2020-07-17,76461,75496,53,1031
2020-07-18,78090,76992,55,750
2020-07-19,79698,78514,62,771
2020-07-20,81101,79684,62,826
2020-07-21,82557,81065,65,1183
2020-07-22,83424,81891,65,1468
2020-07-23,84340,82704,67,1646
2020-07-24,86089,84313,68,1855
2020-07-25,87503,85539,70,883
2020-07-26,88540,86490,71,927
2020-07-27,89866,87698,72,1006
2020-07-28,91565,89249,73,2496
2020-07-29,92606,90232,73,2961
2020-07-30,93821,91338,76,3246
2020-07-31,94998,92408,75,3212
2020-08-01,95727,93115,75,3250
2020-08-02,96572,93899,78,3239
2020-08-03,97542,94735,84,3253
2020-08-04,98747,95816,84,3265
2020-08-05,100451,97377,84,3194
2020-08-06,102031,98759,83,3294
2020-08-07,103466,99953,83,3259
2020-08-08,104374,100822,83,3249
2020-08-09,105359,101723,85,3257
2020-08-10,105996,102349,86,3377
2020-08-11,107055,103338,86,3718
2020-08-12,108317,104511,88,3223
2020-08-13,109534,105655,93,3411
2020-08-14,110500,106584,93,3585
2020-08-15,111305,107270,93,3282
2020-08-16,111893,107856,95,3287
2020-08-17,112317,108256,95,3363
2020-08-18,113178,109053,97,3499
2020-08-19,114105,109882,98,3261
2020-08-20,114965,110663,98,3328
2020-08-21,115738,111397,98,3429
2020-08-22,116358,111955,98,3284
2020-08-23,116991,112512,101,3289
2020-08-24,117438,112912,101,3326
2020-08-25,118384,113821,102,3079
2020-08-26,119188,114574,103,3121
2020-08-27,120074,115290,104,2990
2020-08-28,120702,115871,105,3078
2020-08-29,121293,116389,110,2957
2020-08-30,121778,116855,112,2936
2020-08-31,122184,117229,113,2995
2020-09-01,122950,117924,114,2818
2020-09-02,123534,118454,115,2896
2020-09-03,124309,119147,115,2836
2020-09-04,124872,119666,118,2880
2020-09-05,125321,120061,118,2834
2020-09-06,125565,120299,118,2839
2020-09-07,125761,120520,118,2842
2020-09-08,126076,120789,117,2877
2020-09-09,126710,121349,118,2847
2020-09-10,127212,121829,120,2905
2020-09-11,127763,122335,124,2954
2020-09-12,128178,122700,124,2983
2020-09-13,128525,123017,124,2990
2020-09-14,128797,123272,124,2856
2020-09-15,129298,123776,124,2950
2020-09-16,129924,124297,124,2926
2020-09-17,130547,124837,125,3007
2020-09-18,131161,125458,126,3072
2020-09-19,131731,126045,126,2895
