,0 to 17,18 to 64,65 or Older
3/17/20,3,127,29
3/18/20,4,138,31
3/19/20,4,154,34
3/20/20,4,215,47
3/21/20,5,319,67
3/22/20,9,415,92
3/23/20,10,518,107
3/24/20,10,613,141
3/25/20,19,924,223
3/26/20,22,1112,268
3/27/20,27,1350,343
3/28/20,27,1609,395
3/29/20,27,1861,467
3/30/20,27,2273,553
3/31/20,32,2732,684
4/1/20,36,3120,802
4/2/20,40,3502,922
4/3/20,48,4087,1077
4/4/20,57,4582,1183
4/5/20,59,4864,1305
4/6/20,73,5280,1417
4/7/20,80,5721,1552
4/8/20,81,5996,1679
4/9/20,84,6320,1806
4/10/20,91,6612,1924
4/11/20,95,6804,2017
4/12/20,97,6942,2144
4/13/20,100,7388,2297
4/14/20,104,7671,2423
4/15/20,111,7919,2525
4/16/20,118,8255,2650
4/17/20,125,8782,3018
4/18/20,129,8959,3124
4/19/20,196,10156,3264
4/20/20,247,11254,3525
4/21/20,300,12321,3707
4/22/20,338,13082,3947
4/23/20,369,13805,4205
4/24/20,381,14212,4373
4/25/20,385,14505,4505
4/26/20,444,15196,4596
4/27/20,465,15591,4770
4/28/20,536,16752,5037
4/29/20,554,17226,5251
4/30/20,612,18036,5409
5/1/20,639,18486,5586
5/2/20,673,19052,5715
5/3/20,687,19364,5936
5/4/20,793,20608,6203
5/5/20,844,21191,6378
5/6/20,879,21760,6571
5/7/20,901,22306,6739
5/8/20,949,23074,6919
5/9/20,959,23399,7051
5/10/20,989,23869,7182
5/11/20,1054,24626,7310
5/12/20,1117,25518,7581
5/13/20,1202,26267,7715
5/14/20,1246,26898,7911
5/15/20,1312,27813,8026
5/16/20,1356,28312,8105
5/17/20,1390,28668,8208
5/18/20,1493,29555,8353
5/19/20,1597,30581,8508
5/20/20,1682,31474,8722
5/21/20,1749,32176,8854
5/22/20,1821,32946,8978
5/23/20,1874,33619,9107
5/24/20,1981,34528,9294
5/25/20,2162,35972,9439
5/26/20,2249,36676,9557
5/27/20,2321,37494,9674
5/28/20,2488,38988,9863
5/29/20,2693,40544,10018
5/30/20,2832,41713,10183
5/31/20,2902,42486,10272
6/1/20,2996,43375,10390
6/2/20,3084,44309,10521
6/3/20,3200,45398,10744
6/4/20,3282,46509,10901
6/5/20,3373,47524,11050
6/6/20,3552,48762,11206
6/7/20,3636,49420,11272
6/8/20,3740,50325,11381
6/9/20,3890,51290,11517
6/10/20,4117,52730,11639
6/11/20,4289,54040,11786
6/12/20,4456,55190,11938
6/13/20,4556,56025,12056
6/14/20,4644,56670,12086
6/15/20,4768,57678,12245
6/16/20,5052,59240,12402
6/17/20,5157,60127,12532
6/18/20,5301,61228,12663
6/19/20,5504,62810,12828
6/20/20,5686,64274,12971
6/21/20,5987,66324,13130
6/22/20,6156,68151,13370
6/23/20,6221,68901,13497
6/24/20,6463,70811,13732
6/25/20,6658,72230,13873
6/26/20,6877,73908,14070
6/27/20,7076,76036,14239
6/28/20,7334,78446,14416
6/29/20,7604,80772,14614
6/30/20,7696,82110,14762
7/1/20,7919,84020,14963
7/2/20,7919,84020,14963
7/3/20,7919,84020,14963
7/4/20,8542,90286,15540
7/5/20,8686,91595,15653
7/6/20,9118,94857,15907
7/7/20,9283,96873,16136
7/8/20,9391,98344,16316
7/9/20,9568,100310,16516
7/10/20,9796,102652,16726
7/11/20,10137,105701,16978
7/12/20,10356,107827,17157
7/13/20,10757,111036,17447
7/14/20,11032,113389,17676
7/15/20,11541,116962,17958
7/16/20,11843,119389,18154
7/17/20,12110,121500,18394
7/18/20,12464,123970,18605
7/19/20,12835,126552,18796
7/20/20,12963,128810,18991
7/21/20,13302,131021,19223
7/22/20,13484,132450,19352
7/23/20,13484,132450,19352
7/24/20,13484,132450,19352
7/25/20,13484,132450,19352
7/26/20,13484,132450,19352
7/27/20,15111,139567,21763
7/28/20,15749,143188,22083
7/29/20,16067,145246,22290
7/30/20,16395,147255,22511
7/31/20,16727,148932,22702
8/1/20,16900,150035,22861
8/2/20,17175,151235,22995
8/3/20,17404,152627,23175
8/4/20,17684,154278,23439
8/5/20,18102,156794,23752
8/6/20,18518,159073,23997
8/7/20,18870,161073,24289
8/8/20,19129,162400,24445
8/9/20,19415,163799,24615
8/10/20,19571,164766,24755
8/11/20,19856,166310,24931
8/12/20,20190,168149,25171
8/13/20,20502,169916,25415
8/14/20,20768,171379,25600
8/15/20,20976,172461,25802
8/16/20,21152,173346,25894
8/17/20,21257,173953,25979
8/18/20,21418,175279,26122
8/19/20,21631,176646,26284
8/20/20,21842,177908,26453
8/21/20,21996,179114,26598
8/22/20,22164,179957,26752
8/23/20,22344,180864,26852
8/24/20,22411,181523,26970
8/25/20,22602,181639,27118
8/26/20,22761,184049,27275
8/27/20,22948,185168,27468
8/28/20,23076,186082,27590
8/29/20,23230,186911,27709
8/30/20,23380,187587,27806
8/31/20,23464,188191,27913
9/1/20,23618,189214,28045
9/2/20,23729,190099,28166
9/3/20,23897,191209,28341
9/4/20,24018,192061,28459
9/5/20,24125,192691,28553
9/6/20,24173,193069,28605
9/7/20,24218,193388,28658
9/8/20,24276,193845,28724
9/9/20,24418,194754,28864
9/10/20,24523,195531,28966
9/11/20,24645,196354,29071
9/12/20,24745,196935,29157
9/13/20,24850,197461,29197
9/14/20,24901,197868,29265
9/15/20,24987,198695,29362
9/16/20,25127,199532,29477
9/17/20,25239,200450,29608
9/18/20,25396,201414,29715
9/19/20,25585,202303,29833
9/20/20,25679,202780,29898
9/21/20,25729,203310,29961
9/22/20,25861,204180,30091
9/23/20,26010,205089,30238
9/24/20,26155,206079,30391
9/25/20,26303,206994,30511
9/26/20,26437,207658,30600
9/27/20,26513,208178,30653
9/28/20,26600,208777,30763
9/29/20,26731,209611,30841
9/30/20,26841,210410,30937
10/1/20,26972,211364,31055
10/2/20,27089,212086,31183
10/3/20,27229,212882,31276
10/4/20,27292,213166,31304
10/5/20,27408,213851,31416
10/6/20,27616,215023,31549
10/7/20,27735,215959,31673
10/8/20,27887,216858,31786
10/9/20,28066,217752,31884
10/10/20,28234,218661,31996
10/11/20,28367,219291,32065
10/12/20,28456,219853,32132
10/13/20,28625,220794,32233
10/14/20,28752,221657,32354
10/15/20,28911,222414,32445
10/16/20,29039,223103,32503
10/17/20,29120,223456,32560
10/18/20,29218,224184,32637
10/19/20,29270,224640,32702
10/20/20,29303,224930,32749
10/21/20,29810,227740,33115
10/22/20,30197,229766,33361
10/23/20,30474,231301,33525
10/24/20,30613,232065,33597
10/25/20,30474,231303,33526
10/26/20,30613,232065,33597
10/27/20,31122,234758,33916
10/28/20,31367,236059,34101
10/29/20,31524,236993,34207
10/30/20,31670,237948,34336
10/31/20,31862,239084,34478
11/1/20,32053,240151,34606
11/2/20,32191,241068,34695
11/3/20,32397,242399,34823
11/4/20,32697,244198,34997
11/5/20,32976,245760,35177
11/6/20,33231,247604,35339
11/7/20,33547,249228,35522
11/8/20,33748,250316,35622
11/9/20,34002,251960,35814
11/10/20,34253,253497,35946
11/11/20,34670,255684,36202
11/12/20,34949,257516,36426
11/13/20,35430,260284,36724
11/14/20,35840,262689,37019
11/15/20,36251,264808,37232
11/16/20,36478,266416,37416
11/17/20,36955,269195,37731
11/18/20,37570,272915,38056
11/19/20,38150,276526,38480
11/20/20,38690,279782,38896
11/21/20,39117,281850,39198
11/22/20,39942,286490,39729
11/23/20,40355,289078,40066
11/24/20,40807,292092,40421
11/25/20,41434,295952,40871
11/26/20,41958,299435,41346
11/27/20,42269,301838,41714
11/28/20,42958,305807,42237
11/29/20,43591,309736,42678
11/30/20,44493,315138,43276
12/1/20,45094,319179,43771
12/2/20,46293,325893,44574
12/3/20,47233,331256,45168
12/4/20,48358,337890,45934
12/5/20,50168,347255,46929
12/6/20,51296,353264,47653
12/7/20,52415,359460,48321
12/8/20,53499,365654,49078
12/9/20,55311,375158,50173
12/10/20,57048,385391,51226
12/11/20,58523,393666,52240
12/12/20,60516,404767,53650
12/13/20,61383,410210,54492
12/14/20,62818,418298,55533
12/15/20,65925,434519,57270
12/16/20,68132,446250,58765
12/17/20,70211,457920,60140
12/18/20,71957,467755,61448
12/19/20,74088,478847,62969
12/20/20,75624,487160,64135
12/21/20,77032,495742,65389
12/22/20,79091,507536,66998
12/23/20,81281,518991,68627
12/24/20,81281,518991,68627
12/25/20,85432,540131,71522
12/26/20,87611,550391,72935
12/27/20,89319,560409,74503
12/28/20,90684,569095,75621
12/29/20,91835,576329,76624
12/30/20,93673,586672,78144
12/31/20,96293,601148,80013
1/1/21,98477,612887,81624
1/2/21,100848,624411,83180
1/3/21,102060,631001,84372
1/4/21,103650,639288,85490
1/5/21,105025,647399,86704
1/6/21,107578,660867,88508
1/7/21,110824,676831,90686
1/8/21,113012,689112,92303
1/9/21,114808,698952,93710
1/10/21,116556,708226,95010
1/11/21,118246,716681,96220
1/12/21,119974,725183,97386
1/13/21,123151,740380,99682
1/14/21,125167,750603,101220
1/15/21,127098,760433,102678
1/16/21,128942,769079,104015
1/17/21,130400,776012,105102
1/18/21,131500,781668,105898
1/19/21,132071,785644,106599
1/20/21,133328,792067,107746
1/21/21,134344,798237,108746
1/22/21,135734,805413,109823
1/23/21,136827,811033,110673
1/24/21,137731,815612,111404
1/25/21,138405,819643,112056
1/26/21,139249,824143,112771
1/27/21,140010,828486,113621
1/28/21,140748,832903,114424
1/29/21,141625,837693,115152
1/30/21,142473,841654,115875
1/31/21,143074,844505,116372
2/1/21,143514,846995,116846
2/2/21,144081,850404,117391
2/3/21,145410,856624,118433
2/4/21,145913,859671,119016
2/5/21,146539,862895,119596
2/6/21,146935,864946,119988
2/7/21,147285,866869,120285
2/8/21,147619,869033,120673
2/9/21,148019,871107,121060
2/10/21,148623,874197,121695
2/11/21,148997,876464,122190
2/12/21,149401,878537,122541
2/13/21,149677,879879,122787
2/14/21,149949,881193,122995
2/15/21,150089,882074,123179
2/16/21,150270,883611,123434
2/17/21,150572,885445,123757
2/18/21,150843,887144,124097
2/19/21,151054,888854,124415
2/20/21,151230,889844,124590
2/21/21,151344,890521,124695
2/22/21,151631,892371,125045
2/23/21,151838,893926,125255
2/24/21,152041,895402,125481
2/25/21,152238,896726,125670
2/26/21,152434,897878,125828
2/27/21,152633,899006,125941
2/28/21,152764,899728,126057
3/1/21,152894,900730,126216
3/2/21,153054,901934,126427
3/3/21,153285,903492,126711
3/4/21,153546,905180,126987
3/5/21,153717,906511,127225
3/6/21,153851,907529,127354
3/7/21,153949,908197,127450
3/8/21,154071,909126,127613
3/9/21,154224,910236,127724
3/10/21,154224,910236,127724
3/11/21,154467,911922,127992
3/12/21,154547,912471,128052
3/13/21,154654,913015,128145
3/14/21,154710,913337,128189
3/15/21,154740,913522,128230
3/16/21,154843,914132,128292
3/17/21,154952,914779,128379
3/18/21,155030,915334,128461
3/19/21,155092,915732,128487
3/20/21,155163,916012,128540
3/21/21,155237,916412,128570
3/22/21,155275,916718,128598
3/23/21,155339,917161,128653
3/24/21,155391,917546,128694
3/25/21,161572,918103,128753
3/26/21,161658,918570,128792
3/27/21,161719,918926,128826
3/28/21,161770,919215,128842
3/29/21,161804,919472,128867
3/30/21,161866,919895,128919
3/31/21,161804,919474,128867
4/1/21,162026,920869,129015
4/2/21,162121,921430,129072
4/3/21,162182,921803,129109
4/4/21,162246,922046,129136
4/5/21,162284,922274,129175
4/6/21,162318,922573,129213
4/7/21,162386,923056,129250
4/8/21,162480,923596,129296
4/9/21,162593,924128,129359
4/10/21,162673,924514,129392
4/11/21,162734,924822,129418
4/12/21,162794,925122,129444
4/13/21,162839,925398,129460
4/14/21,162947,925778,129486
4/15/21,163024,926247,129521
4/16/21,163120,926603,129554
4/17/21,163444,927361,129773
4/18/21,163511,927585,129796
4/19/21,163572,927819,129814
4/20/21,163642,928065,129822
4/21/21,163721,928315,129842
4/22/21,163785,928612,129872
4/23/21,163856,928881,129887
4/24/21,163940,929117,129911
4/25/21,163989,929329,129925
4/26/21,164046,929505,129931
4/27/21,164078,929688,129959
4/28/21,164121,929960,129983
4/29/21,164166,930209,130016
4/30/21,164251,930493,130059
5/1/21,164383,930991,129980
5/2/21,164431,931133,130003
5/3/21,164460,931292,130021
5/4/21,164463,931405,130034
5/5/21,164522,931660,130059
5/6/21,164576,931894,130108
5/7/21,164621,932107,130128
5/8/21,164658,932283,130144
5/9/21,164695,932483,130196
5/10/21,164716,932575,130225
5/11/21,164761,932748,130252
5/12/21,164797,932904,130260
5/13/21,164874,933281,130324
5/14/21,164913,933439,130342
5/15/21,164947,933531,130353
5/16/21,164965,933641,130376
5/17/21,164991,933714,130394
5/18/21,165037,933850,130411
5/19/21,165078,933997,130434
5/20/21,165119,934151,130459
5/21/21,165207,934440,130495
5/22/21,165242,934564,130511
5/23/21,165263,934666,130526
5/24/21,165281,934795,130540
5/25/21,165305,934906,130556
5/26/21,165648,937640,131477
5/27/21,165692,937761,131493
5/28/21,165727,937906,131508
5/29/21,165752,938033,131522
5/30/21,165775,938171,131533
5/31/21,165798,938248,131540
6/1/21,165819,938304,131551
6/2/21,165845,938448,131564
6/3/21,165867,938593,131583
6/4/21,165903,938772,131601
6/5/21,165948,938918,131613
6/6/21,165974,939016,131622
6/7/21,166004,939119,131636
6/8/21,166039,939235,131654
6/9/21,166060,939367,131668
6/10/21,166087,939487,131682
6/11/21,166153,939718,131759
6/12/21,166183,939859,131778
