,0 to 17,18 to 64,65 or Older
2020-03-28,0,12,25
2020-03-29,0,13,31
2020-03-30,0,17,37
2020-03-31,0,19,47
2020-04-01,0,20,59
2020-04-02,0,24,67
2020-04-03,0,35,84
2020-04-04,0,38,94
2020-04-05,0,41,106
2020-04-06,0,47,125
2020-04-07,0,56,143
2020-04-08,0,62,160
2020-04-09,0,70,170
2020-04-10,0,72,192
2020-04-11,0,78,218
2020-04-12,0,90,229
2020-04-13,0,99,254
2020-04-14,0,111,277
2020-04-15,0,120,320
2020-04-16,0,130,348
2020-04-17,0,149,404
2020-04-18,0,156,421
2020-04-19,0,159,434
2020-04-20,0,165,467
2020-04-21,0,180,515
2020-04-22,0,194,565
2020-04-23,0,202,607
2020-04-24,0,211,644
2020-04-25,0,216,657
2020-04-26,0,219,681
2020-04-27,0,236,717
2020-04-28,0,247,758
2020-04-29,0,258,793
2020-04-30,0,277,887
2020-05-01,0,277,909
2020-05-02,0,280,925
2020-05-03,0,284,948
2020-05-04,0,295,994
2020-05-05,0,308,1035
2020-05-06,0,315,1102
2020-05-07,0,325,1143
2020-05-08,0,333,1177
2020-05-09,0,336,1189
2020-05-10,0,341,1221
2020-05-11,0,349,1256
2020-05-12,0,359,1289
2020-05-13,0,371,1326
2020-05-14,0,376,1361
2020-05-15,0,385,1394
2020-05-16,0,390,1418
2020-05-17,0,394,1437
2020-05-18,0,415,1491
2020-05-19,0,429,1524
2020-05-20,0,440,1554
2020-05-21,0,445,1579
2020-05-22,0,453,1610
2020-05-23,0,455,1620
2020-05-24,0,458,1630
2020-05-25,0,465,1649
2020-05-26,0,482,1711
2020-05-27,0,493,1748
2020-05-28,0,509,1781
2020-05-29,0,517,1816
2020-05-30,0,526,1832
2020-05-31,0,532,1848
2020-06-01,0,550,1887
2020-06-02,0,555,1921
2020-06-03,0,572,1948
2020-06-04,0,582,1971
2020-06-05,0,600,2006
2020-06-06,0,606,2021
2020-06-07,0,607,2025
2020-06-08,0,624,2063
2020-06-09,0,654,2114
2020-06-10,0,668,2145
2020-06-11,0,669,2158
2020-06-12,0,689,2194
2020-06-13,0,694,2202
2020-06-14,0,699,2216
2020-06-15,0,708,2240
2020-06-16,0,716,2262
2020-06-17,0,724,2290
2020-06-18,0,731,2319
2020-06-19,0,740,2353
2020-06-20,0,745,2356
2020-06-21,0,749,2369
2020-06-22,0,756,2396
2020-06-23,0,761,2423
2020-06-24,0,771,2456
2020-06-25,0,775,2472
2020-06-26,0,784,2501
2020-06-27,0,789,2516
2020-06-28,0,793,2533
2020-06-29,0,804,2560
2020-06-30,0,811,2581
2020-07-01,0,823,2621
2020-07-02,0,823,2621
2020-07-03,0,823,2621
2020-07-04,0,836,2642
2020-07-05,0,849,2676
2020-07-06,0,864,2704
2020-07-07,0,891,2734
2020-07-08,0,920,2769
2020-07-09,0,937,2799
2020-07-10,0,951,2837
2020-07-11,0,953,2849
2020-07-12,0,953,2862
2020-07-13,0,973,2912
2020-07-14,0,985,2933
2020-07-15,0,1005,2967
2020-07-16,0,1020,3010
2020-07-17,0,1031,3035
2020-07-18,0,1039,3056
2020-07-19,0,1042,3062
2020-07-20,0,1057,3097
2020-07-21,0,1075,3137
2020-07-22,0,1092,3168
2020-07-23,0,0,3168
2020-07-24,0,0,3168
2020-07-25,0,0,3168
2020-07-26,0,0,3168
2020-07-27,0,1051,3346
2020-07-28,0,1075,3402
2020-07-29,0,1083,3433
2020-07-30,0,1102,3476
2020-07-31,0,1121,3506
2020-08-01,0,1131,3519
2020-08-02,0,1134,3524
2020-08-03,0,1150,3564
2020-08-04,0,1168,3609
2020-08-05,0,1188,3635
2020-08-06,0,1200,3672
2020-08-07,0,1216,3704
2020-08-08,0,1221,3709
2020-08-09,0,1228,3721
2020-08-10,0,1242,3766
2020-08-11,0,1253,3804
2020-08-12,0,1267,3851
2020-08-13,0,1278,3882
2020-08-14,0,1293,3897
2020-08-15,0,1294,3904
2020-08-16,0,1301,3916
2020-08-17,0,1319,3960
2020-08-18,0,1328,4000
2020-08-19,0,1342,4039
2020-08-20,0,1354,4071
2020-08-21,0,1394,4135
2020-08-22,0,1399,4138
2020-08-23,0,1401,4149
2020-08-24,0,1413,4184
2020-08-25,0,1428,4227
2020-08-26,0,1438,4255
2020-08-27,0,1441,4283
2020-08-28,0,1450,4301
2020-08-29,0,1453,4308
2020-08-30,0,1459,4317
2020-08-31,0,1471,4350
2020-09-01,0,1484,4379
2020-09-02,0,1496,4427
2020-09-03,0,1516,4457
2020-09-04,0,1523,4473
2020-09-05,0,1524,4477
2020-09-06,0,1531,4494
2020-09-07,0,1534,4498
2020-09-08,0,1559,4527
2020-09-09,0,1572,4552
2020-09-10,0,1582,4582
2020-09-11,0,1588,4604
2020-09-12,0,1591,4613
2020-09-13,0,1601,4626
2020-09-14,0,1610,4659
2020-09-15,0,1619,4680
2020-09-16,0,1630,4690
2020-09-17,0,1638,4688
2020-09-18,0,1641,4685
2020-09-19,0,1645,4704
2020-09-20,0,1649,4713
2020-09-21,0,1658,4738
2020-09-22,0,1665,4753
2020-09-23,0,1678,4772
2020-09-24,0,1686,4794
2020-09-25,0,1690,4809
2020-09-26,0,1691,4818
2020-09-27,0,1691,4819
2020-09-28,0,1696,4850
2020-09-29,0,1703,4867
2020-09-30,0,1713,4892
2020-10-01,0,1721,4901
2020-10-02,0,1721,4915
2020-10-03,0,1722,4919
2020-10-04,0,1726,4923
2020-10-05,0,1733,4944
2020-10-06,0,1740,4964
2020-10-07,0,1745,4976
2020-10-08,0,1746,4990
2020-10-09,0,1754,5008
2020-10-10,0,1757,5008
2020-10-11,0,1757,5010
2020-10-12,0,1758,5026
2020-10-13,0,1764,5041
2020-10-14,0,1770,5057
2020-10-15,0,1773,5075
2020-10-16,0,1775,5081
2020-10-17,0,1777,5092
2020-10-18,0,1777,5093
2020-10-19,0,1784,5121
2020-10-20,0,1787,5150
2020-10-21,0,1789,5162
2020-10-22,0,1794,5176
2020-10-23,0,1800,5185
2020-10-24,0,1801,5188
2020-10-25,0,1802,5194
2020-10-26,0,1809,5214
2020-10-27,0,1816,5220
2020-10-28,0,1817,5223
2020-10-29,0,1826,5226
2020-10-30,0,1828,5239
2020-10-31,0,1828,5242
2020-11-01,0,1828,5244
