,American Indian or Alaska Native,Asian,Black,Hispanic/Latino,Native Hawaiian or Pacific Islander,White,Other
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0,0
2020-04-08,0,508,413,1545,0,1264,631
2020-04-09,0,526,429,1621,0,1292,655
2020-04-10,0,589,460,1869,0,1399,661
2020-04-11,0,666,493,2169,0,1504,656
2020-04-12,0,716,548,2411,0,1618,677
2020-04-13,0,779,590,2680,0,1788,736
2020-04-14,0,811,617,2855,0,1887,753
2020-04-15,0,862,645,3084,0,1970,744
2020-04-16,0,922,684,3326,0,2047,788
2020-04-17,0,992,760,3569,0,2162,887
2020-04-18,0,1020,787,3738,0,2203,879
2020-04-19,0,1074,824,3959,0,2311,879
2020-04-20,0,1136,876,4319,0,2432,965
2020-04-21,0,1194,898,4602,0,2517,970
2020-04-22,12,1228,925,4757,172,2584,813
2020-04-23,12,1266,949,4985,182,2639,850
2020-04-24,12,1244,979,5158,182,2681,887
2020-04-25,12,1330,988,5226,186,2728,923
2020-04-26,12,1352,994,5339,187,2763,926
2020-04-27,13,1417,1053,5591,195,2923,1000
2020-04-28,13,1487,1096,6083,206,3043,1019
2020-04-29,13,1515,1113,6259,209,3088,1046
2020-04-30,13,1645,1193,7180,214,3278,1050
2020-05-01,13,1704,1223,7621,219,3386,1076
2020-05-02,13,1724,1233,7710,219,3421,1101
2020-05-03,14,1815,1290,8421,223,3555,1189
2020-05-04,15,1868,1329,8648,219,3645,1224
2020-05-05,16,1916,1388,8844,221,3766,1242
2020-05-06,16,1952,1410,9059,224,3814,1260
2020-05-07,16,2003,1458,9500,229,3900,1287
2020-05-08,18,2077,1491,9725,234,3968,1330
