,American Indian or Alaska Native,Asian,Black,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Other
2020-03-28,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0,0
2020-04-08,0,34,23,47,0,52,5
2020-04-09,0,38,26,54,0,56,5
2020-04-10,0,41,28,68,0,69,5
2020-04-11,0,46,34,80,0,82,5
2020-04-12,0,48,39,90,0,87,5
2020-04-13,0,52,47,105,0,92,5
2020-04-14,0,59,56,116,0,110,5
2020-04-15,0,67,65,132,0,121,5
2020-04-16,0,74,71,151,0,125,5
2020-04-17,0,85,80,183,0,142,5
2020-04-18,0,92,83,190,0,152,5
2020-04-19,0,95,87,196,0,155,5
2020-04-20,0,106,93,212,0,164,5
2020-04-21,0,119,102,242,0,177,5
2020-04-22,1,129,109,269,6,201,5
2020-04-23,1,143,115,295,6,231,5
2020-04-24,1,154,118,311,6,245,5
2020-04-25,1,158,119,322,6,249,5
2020-04-26,1,165,122,337,6,262,5
2020-04-27,1,175,129,361,6,275,9
2020-04-28,1,186,133,381,6,291,10
2020-04-29,1,195,135,402,6,301,10
2020-04-30,1,206,144,420,6,325,10
2020-05-01,1,211,144,434,6,338,10
2020-05-02,1,218,147,443,6,345,10
2020-05-03,1,226,149,453,6,351,12
2020-05-04,1,235,156,482,6,364,14
2020-05-05,1,243,163,509,6,377,14
2020-05-06,1,253,181,531,6,413,14
2020-05-07,1,258,188,552,6,432,14
2020-05-08,1,272,193,562,6,443,18
2020-05-09,1,274,196,568,6,448,18
2020-05-10,1,276,203,582,6,461,18
2020-05-11,1,282,208,597,6,477,19
2020-05-12,1,286,212,620,6,493,19
2020-05-13,1,298,217,633,6,506,20
2020-05-14,2,304,224,650,6,515,20
2020-05-15,2,308,227,671,6,530,20
2020-05-16,2,310,231,685,6,540,20
2020-05-17,2,314,232,691,6,547,20
2020-05-18,2,324,245,728,6,566,20
2020-05-19,2,332,250,750,6,583,20
2020-05-20,2,342,256,769,6,594,20
2020-05-21,2,348,257,784,6,602,20
2020-05-22,2,352,261,798,6,620,20
2020-05-23,2,354,261,807,6,622,20
2020-05-24,2,356,264,814,6,626,20
2020-05-25,2,362,270,825,6,629,20
2020-05-26,2,373,275,853,6,634,20
2020-05-27,2,379,278,873,6,649,20
2020-05-28,2,388,282,897,7,665,20
2020-05-29,2,398,290,923,7,671,20
2020-05-30,2,402,291,937,7,676,20
2020-05-31,2,404,295,945,7,682,20
2020-06-01,2,416,298,968,7,703,20
2020-06-02,2,420,307,987,7,712,20
2020-06-03,2,426,312,1007,7,720,20
2020-06-04,2,445,313,1021,7,732,20
2020-06-05,2,453,320,1050,8,745,20
2020-06-06,2,458,323,1061,8,754,20
2020-06-07,2,460,324,1065,8,755,20
2020-06-08,2,463,330,1081,8,776,20
2020-06-09,2,467,333,1119,8,796,20
2020-06-10,2,473,337,1136,8,814,20
2020-06-11,2,476,336,1148,10,818,20
2020-06-12,3,482,340,1173,10,835,20
2020-06-13,3,486,344,1181,10,842,20
2020-06-14,3,487,346,1190,10,847,20
2020-06-15,3,490,347,1206,10,852,20
2020-06-16,3,495,349,1220,10,864,20
2020-06-17,3,498,352,1232,10,878,20
2020-06-18,3,503,355,1251,10,891,20
2020-06-19,3,507,357,1278,10,904,20
2020-06-20,3,507,358,1289,10,908,20
2020-06-21,3,512,361,1294,10,910,20
2020-06-22,5,518,366,1315,10,906,20
2020-06-23,5,524,373,1328,10,917,20
2020-06-24,5,527,379,1350,10,928,20
2020-06-25,6,531,383,1360,10,928,20
2020-06-26,9,544,386,1385,10,914,20
2020-06-27,9,547,392,1392,10,918,20
2020-06-28,9,550,394,1401,10,923,20
2020-06-29,9,552,397,1425,10,932,24
2020-06-30,9,553,401,1441,10,940,26
2020-07-01,9,559,406,1464,11,952,26
2020-07-02,9,559,406,1464,11,952,26
2020-07-03,9,559,406,1464,11,952,26
2020-07-04,9,562,409,1486,11,959,26
2020-07-05,9,565,411,1514,11,970,26
2020-07-06,9,570,412,1542,12,980,27
2020-07-07,9,579,416,1587,12,993,27
2020-07-08,9,578,419,1623,13,997,28
2020-07-09,9,581,424,1661,14,1001,28
2020-07-10,9,584,431,1687,14,1011,30
2020-07-11,9,586,434,1698,14,1018,30
2020-07-12,9,587,434,1703,15,1021,30
2020-07-13,9,594,438,1738,15,1041,30
2020-07-14,9,601,441,1760,16,1047,30
2020-07-15,9,606,445,1796,17,1048,30
2020-07-16,9,614,448,1835,17,1057,30
2020-07-17,9,614,459,1860,17,1070,30
2020-07-18,9,614,460,1865,17,1075,30
2020-07-19,9,614,460,1868,17,1081,30
2020-07-20,10,618,463,1898,17,1088,32
2020-07-21,10,628,469,1937,17,1101,32
2020-07-22,10,637,473,1964,17,1107,32
2020-07-23,10,643,478,1988,17,1109,31
2020-07-24,10,646,483,2020,17,1116,32
2020-07-25,10,646,487,2020,17,1119,33
2020-07-26,10,649,487,2024,17,1126,32
2020-07-27,10,656,490,2058,17,1132,32
2020-07-28,10,670,497,2115,17,1130,30
2020-07-29,10,677,501,2135,17,1155,31
2020-07-30,10,688,508,2178,16,1164,30
2020-07-31,10,692,516,2204,16,1173,30
2020-08-01,10,696,519,2217,16,1175,30
2020-08-02,10,696,520,2223,16,1177,30
2020-08-03,10,703,526,2262,16,1182,30
2020-08-04,10,717,531,2301,16,1192,30
2020-08-05,10,724,534,2331,16,1202,30
2020-08-06,10,732,534,2358,16,1214,30
2020-08-07,10,742,538,2387,16,1221,30
2020-08-08,10,744,538,2395,16,1222,30
2020-08-09,10,744,540,2407,16,1226,30
2020-08-10,10,755,542,2440,16,1239,30
