,Female,Male,Other
2020-03-28,14,22,0
2020-03-29,16,27,0
2020-03-30,21,33,0
2020-03-31,27,39,0
2020-04-01,32,47,0
2020-04-02,36,55,0
2020-04-03,47,70,0
2020-04-04,50,79,0
2020-04-05,53,91,0
2020-04-06,65,104,0
2020-04-07,77,118,0
2020-04-08,88,129,0
2020-04-09,95,140,0
2020-04-10,107,153,0
2020-04-11,125,167,0
2020-04-12,134,183,0
2020-04-13,147,207,0
2020-04-14,155,234,0
2020-04-15,173,268,0
2020-04-16,192,287,0
2020-04-17,227,347,0
2020-04-18,233,365,0
2020-04-19,238,376,0
2020-04-20,261,396,1
2020-04-21,294,429,1
2020-04-22,323,464,1
2020-04-23,339,499,1
2020-04-24,361,523,1
2020-04-25,365,537,1
2020-04-26,377,552,1
2020-04-27,402,585,1
2020-04-28,428,613,1
2020-04-29,450,637,1
2020-04-30,484,669,1
2020-05-01,501,689,1
2020-05-02,513,696,1
2020-05-03,528,708,1
2020-05-04,563,730,1
2020-05-05,595,752,1
2020-05-06,614,802,1
2020-05-07,633,834,1
2020-05-08,659,850,1
2020-05-09,667,857,1
2020-05-10,685,876,1
2020-05-11,706,898,1
2020-05-12,726,921,1
2020-05-13,749,947,1
2020-05-14,768,968,1
2020-05-15,791,987,1
2020-05-16,803,1004,1
2020-05-17,811,1018,1
2020-05-18,845,1059,1
2020-05-19,867,1084,1
2020-05-20,883,1109,1
2020-05-21,900,1122,1
2020-05-22,918,1143,1
2020-05-23,922,1151,1
2020-05-24,928,1158,1
2020-05-25,938,1174,1
2020-05-26,970,1218,1
2020-05-27,997,1243,1
2020-05-28,1018,1271,1
2020-05-29,1037,1295,1
2020-05-30,1047,1310,1
2020-05-31,1055,1324,1
2020-06-01,1083,1353,1
2020-06-02,1097,1378,1
2020-06-03,1113,1406,1
2020-06-04,1127,1425,1
2020-06-05,1155,1450,1
2020-06-06,1167,1459,1
2020-06-07,1170,1461,1
2020-06-08,1191,1494,1
2020-06-09,1224,1542,1
2020-06-10,1247,1565,1
2020-06-11,1255,1571,1
2020-06-12,1280,1602,1
2020-06-13,1283,1612,1
2020-06-14,1290,1624,1
2020-06-15,1305,1640,1
2020-06-16,1315,1662,1
2020-06-17,1331,1682,1
2020-06-18,1342,1707,1
2020-06-19,1365,1727,1
2020-06-20,1366,1735,1
2020-06-21,1377,1740,1
2020-06-22,1387,1764,1
2020-06-23,1407,1776,1
2020-06-24,1430,1796,1
2020-06-25,1433,1813,1
2020-06-26,1445,1839,1
2020-06-27,1457,1847,1
2020-06-28,1466,1859,1
2020-06-29,1481,1882,1
2020-06-30,1493,1898,1
2020-07-01,1515,1928,1
2020-07-02,1515,1928,1
2020-07-03,1515,1928,1
2020-07-04,1530,1947,1
2020-07-05,1551,1973,1
2020-07-06,1570,1997,1
2020-07-07,1593,2031,1
2020-07-08,1616,2072,1
2020-07-09,1634,2101,1
2020-07-10,1655,2132,1
2020-07-11,1662,2139,1
2020-07-12,1665,2148,1
2020-07-13,1694,2190,1
2020-07-14,1704,2212,2
2020-07-15,1725,2245,2
2020-07-16,1748,2280,2
2020-07-17,1761,2303,2
2020-07-18,1779,2314,2
2020-07-19,1782,2320,2
2020-07-20,1801,2351,2
2020-07-21,1821,2389,2
2020-07-22,1836,2422,2
2020-07-23,1853,2443,2
2020-07-24,1872,2475,2
2020-07-25,1876,2478,2
2020-07-26,1887,2482,2
2020-07-27,1908,2512,2
2020-07-28,1944,2556,2
2020-07-29,1965,2574,2
