Date,variable,Cumulative Confirmed Case Count,Newly Confirmed Case Count,Cumulative Death Count,Newly Reported Death Count
3/17/20,Age-0to17,3,3,0,0
3/18/20,Age-0to17,4,1,0,0
3/19/20,Age-0to17,4,0,0,0
3/20/20,Age-0to17,4,0,0,0
3/21/20,Age-0to17,5,1,0,0
3/22/20,Age-0to17,9,4,0,0
3/23/20,Age-0to17,10,1,0,0
3/24/20,Age-0to17,10,0,0,0
3/25/20,Age-0to17,19,9,0,0
3/26/20,Age-0to17,22,3,0,0
3/27/20,Age-0to17,27,5,0,0
3/28/20,Age-0to17,27,0,0,0
3/29/20,Age-0to17,27,0,0,0
3/30/20,Age-0to17,27,0,0,0
3/31/20,Age-0to17,32,5,0,0
4/1/20,Age-0to17,36,4,0,0
4/2/20,Age-0to17,40,4,0,0
4/3/20,Age-0to17,48,8,0,0
4/4/20,Age-0to17,57,9,0,0
4/5/20,Age-0to17,59,2,0,0
4/6/20,Age-0to17,73,14,0,0
4/7/20,Age-0to17,80,7,0,0
4/8/20,Age-0to17,81,1,0,0
4/9/20,Age-0to17,84,3,0,0
4/10/20,Age-0to17,91,7,0,0
4/11/20,Age-0to17,95,4,0,0
4/12/20,Age-0to17,97,2,0,0
4/13/20,Age-0to17,100,3,0,0
4/14/20,Age-0to17,104,4,0,0
4/15/20,Age-0to17,111,7,0,0
4/16/20,Age-0to17,118,7,0,0
4/17/20,Age-0to17,125,7,0,0
4/18/20,Age-0to17,129,4,0,0
4/19/20,Age-0to17,196,67,0,0
4/20/20,Age-0to17,247,51,0,0
4/21/20,Age-0to17,300,53,0,0
4/22/20,Age-0to17,338,38,0,0
4/23/20,Age-0to17,369,31,0,0
4/24/20,Age-0to17,381,12,0,0
4/25/20,Age-0to17,385,4,0,0
4/26/20,Age-0to17,444,59,0,0
4/27/20,Age-0to17,465,21,0,0
4/28/20,Age-0to17,536,71,0,0
4/29/20,Age-0to17,554,18,0,0
4/30/20,Age-0to17,612,58,0,0
5/1/20,Age-0to17,639,27,0,0
5/2/20,Age-0to17,673,34,0,0
5/3/20,Age-0to17,687,14,0,0
5/4/20,Age-0to17,793,106,0,0
5/5/20,Age-0to17,844,51,0,0
5/6/20,Age-0to17,879,35,0,0
5/7/20,Age-0to17,901,22,0,0
5/8/20,Age-0to17,949,48,0,0
5/9/20,Age-0to17,959,10,0,0
5/10/20,Age-0to17,989,30,0,0
5/11/20,Age-0to17,1054,65,0,0
5/12/20,Age-0to17,1117,63,0,0
5/13/20,Age-0to17,1202,85,0,0
5/14/20,Age-0to17,1246,44,0,0
5/15/20,Age-0to17,1312,66,0,0
5/16/20,Age-0to17,1356,44,0,0
5/17/20,Age-0to17,1390,34,0,0
5/18/20,Age-0to17,1493,103,0,0
5/19/20,Age-0to17,1597,104,0,0
5/20/20,Age-0to17,1682,85,0,0
5/21/20,Age-0to17,1749,67,0,0
5/22/20,Age-0to17,1821,72,0,0
5/23/20,Age-0to17,1874,53,0,0
5/24/20,Age-0to17,1981,107,0,0
5/25/20,Age-0to17,2162,181,0,0
5/26/20,Age-0to17,2249,87,0,0
5/27/20,Age-0to17,2321,72,0,0
5/28/20,Age-0to17,2488,167,0,0
5/29/20,Age-0to17,2693,205,0,0
5/30/20,Age-0to17,2832,139,0,0
5/31/20,Age-0to17,2902,70,0,0
6/1/20,Age-0to17,2996,94,0,0
6/2/20,Age-0to17,3084,88,0,0
6/3/20,Age-0to17,3200,116,0,0
6/4/20,Age-0to17,3282,82,0,0
6/5/20,Age-0to17,3373,91,0,0
6/6/20,Age-0to17,3552,179,0,0
6/7/20,Age-0to17,3636,84,0,0
6/8/20,Age-0to17,3740,104,0,0
6/9/20,Age-0to17,3890,150,0,0
6/10/20,Age-0to17,4117,227,0,0
6/11/20,Age-0to17,4289,172,0,0
6/12/20,Age-0to17,4456,167,0,0
6/13/20,Age-0to17,4556,100,0,0
6/14/20,Age-0to17,4644,88,0,0
6/15/20,Age-0to17,4768,124,0,0
6/16/20,Age-0to17,5052,284,0,0
6/17/20,Age-0to17,5157,105,0,0
6/18/20,Age-0to17,5301,144,0,0
6/19/20,Age-0to17,5504,203,0,0
6/20/20,Age-0to17,5686,182,0,0
6/21/20,Age-0to17,5987,301,0,0
6/22/20,Age-0to17,6156,169,0,0
6/23/20,Age-0to17,6221,65,0,0
6/24/20,Age-0to17,6463,242,0,0
6/25/20,Age-0to17,6658,195,0,0
6/26/20,Age-0to17,6877,219,0,0
6/27/20,Age-0to17,7076,199,0,0
6/28/20,Age-0to17,7334,258,0,0
6/29/20,Age-0to17,7604,270,0,0
6/30/20,Age-0to17,7696,92,0,0
7/1/20,Age-0to17,7919,223,0,0
7/2/20,Age-0to17,7919,0,0,0
7/3/20,Age-0to17,7919,0,0,0
7/4/20,Age-0to17,8542,623,0,0
7/5/20,Age-0to17,8686,144,0,0
7/6/20,Age-0to17,9118,432,0,0
7/7/20,Age-0to17,9283,165,0,0
7/8/20,Age-0to17,9391,108,0,0
7/9/20,Age-0to17,9568,177,0,0
7/10/20,Age-0to17,9796,228,0,0
7/11/20,Age-0to17,10137,341,0,0
7/12/20,Age-0to17,10356,219,0,0
7/13/20,Age-0to17,10757,401,0,0
7/14/20,Age-0to17,11032,275,0,0
7/15/20,Age-0to17,11541,509,0,0
7/16/20,Age-0to17,11843,302,0,0
7/17/20,Age-0to17,12110,267,0,0
7/18/20,Age-0to17,12464,354,0,0
7/19/20,Age-0to17,12835,371,0,0
7/20/20,Age-0to17,12963,128,0,0
7/21/20,Age-0to17,13302,339,0,0
7/22/20,Age-0to17,13484,182,0,0
7/23/20,Age-0to17,13484,0,0,0
7/24/20,Age-0to17,13484,0,0,0
7/25/20,Age-0to17,13484,0,0,0
7/26/20,Age-0to17,13484,0,0,0
7/27/20,Age-0to17,15111,1627,0,0
7/28/20,Age-0to17,15749,638,0,0
7/29/20,Age-0to17,16067,318,0,0
7/30/20,Age-0to17,16395,328,0,0
7/31/20,Age-0to17,16727,332,0,0
8/1/20,Age-0to17,16900,173,0,0
