Date,Age-0to17,Age-18to64,Age-65older,Race-AmericanIndianAlaskaNative,Race-Asian,Race-Black,Race-Hispanic,Race-Hawaiian,Race-White,Sex-Female,Sex-Male,Sex-Other
3/17/20,3,127,29,0,0,0,0,0,0,57,102,0
3/18/20,4,138,31,0,0,0,0,0,0,62,111,0
3/19/20,4,154,34,0,0,0,0,0,0,69,123,0
3/20/20,4,215,47,0,0,0,0,0,0,97,166,0
3/21/20,5,319,67,0,0,0,0,0,0,105,166,0
3/22/20,9,415,92,0,0,0,0,0,0,129,178,0
3/23/20,10,518,107,0,0,0,0,0,0,173,225,0
3/24/20,10,613,141,0,0,0,0,0,0,209,279,0
3/25/20,19,924,223,0,0,0,0,0,0,272,346,0
3/26/20,22,1112,268,0,0,0,0,0,0,331,412,0
3/27/20,27,1350,343,0,0,0,0,0,0,407,509,0
3/28/20,27,1609,395,0,0,0,0,0,0,446,538,0
3/29/20,27,1861,467,0,0,0,0,0,0,1010,1268,0
3/30/20,27,2273,553,0,0,0,0,0,0,1260,1513,0
3/31/20,32,2732,684,0,0,0,0,0,0,1549,1840,0
4/1/20,36,3120,802,0,0,0,0,0,0,1804,2103,0
4/2/20,40,3502,922,0,0,0,0,0,0,2038,2361,0
4/3/20,48,4087,1077,0,0,0,0,0,0,2364,2723,0
4/4/20,57,4582,1183,0,0,0,0,0,0,2634,2981,0
4/5/20,59,4864,1305,0,0,0,0,0,0,2850,3164,0
4/6/20,73,5280,1417,0,0,0,0,0,0,3085,3395,0
4/7/20,80,5721,1552,0,0,0,0,0,0,3379,3651,0
4/8/20,81,5996,1679,0,508,413,1545,0,1264,3601,3874,1
4/9/20,84,6320,1806,0,526,429,1621,0,1292,3855,4095,2
4/10/20,91,6612,1924,0,589,460,1869,0,1399,4085,4298,2
4/11/20,95,6804,2017,0,666,493,2169,0,1504,4286,4483,2
4/12/20,97,6942,2144,0,716,548,2411,0,1618,4407,4590,2
4/13/20,100,7388,2297,0,779,590,2680,0,1788,4687,4848,3
4/14/20,104,7671,2423,0,811,617,2855,0,1887,4880,5062,3
4/15/20,111,7919,2525,0,862,645,3084,0,1970,5040,5251,3
4/16/20,118,8255,2650,0,922,684,3326,0,2047,5327,5483,3
4/17/20,125,8782,3018,0,992,760,3569,0,2162,5641,5786,3
4/18/20,129,8959,3124,0,1020,787,3738,0,2203,5931,6069,3
4/19/20,196,10156,3264,0,1074,824,3959,0,2311,6631,6776,3
4/20/20,247,11254,3525,0,1136,876,4319,0,2432,7439,7525,5
4/21/20,300,12321,3707,0,1194,898,4602,0,2517,8097,8180,5
4/22/20,338,13082,3947,12,1228,925,4757,172,2584,8655,8661,5
4/23/20,369,13805,4205,12,1266,949,4985,182,2639,9201,9126,5
4/24/20,381,14212,4373,12,1244,979,5158,182,2681,9512,9397,5
4/25/20,385,14505,4505,12,1330,988,5226,186,2728,9724,9617,5
4/26/20,444,15196,4596,12,1352,994,5339,187,2763,10163,10025,5
4/27/20,465,15591,4770,13,1417,1053,5591,195,2923,10483,10303,5
4/28/20,536,16752,5037,13,1487,1096,6083,206,3043,11096,11186,5
4/29/20,554,17226,5251,13,1515,1113,6259,209,3088,11442,11554,5
4/30/20,612,18036,5409,13,1645,1193,7180,214,3278,11986,12038,5
5/1/20,639,18486,5586,13,1704,1223,7621,219,3386,12329,12359,6
5/2/20,673,19052,5715,13,1724,1233,7710,219,3421,12702,12705,6
5/3/20,687,19364,5936,14,1815,1290,8421,223,3555,12969,12972,6
5/4/20,793,20608,6203,15,1868,1329,8648,219,3645,13838,13718,6
5/5/20,844,21191,6378,16,1916,1388,8844,221,3766,14259,14115,7
5/6/20,879,21760,6571,16,1952,1410,9059,224,3814,14645,14509,7
5/7/20,901,22306,6739,16,2003,1458,9500,229,3900,14998,14937,7
5/8/20,949,23074,6919,18,2077,1491,9725,234,3968,15492,15439,7
5/9/20,959,23399,7051,19,2109,1508,9941,235,4047,15723,15683,7
5/10/20,989,23869,7182,19,2149,1541,10249,242,4105,16007,15946,7
5/11/20,1054,24626,7310,19,2245,1577,10790,248,4375,16469,16430,7
5/12/20,1117,25518,7581,20,2316,1638,11683,279,4581,17070,17052,9
5/13/20,1202,26267,7715,21,2417,1736,12243,283,4645,17465,17548,9
5/14/20,1246,26898,7911,23,2578,1756,12990,285,4835,17894,17983,9
5/15/20,1312,27813,8026,27,2704,1802,13187,289,4913,18417,18562,9
5/16/20,1356,28312,8105,27,2712,1844,13514,298,5179,18714,18888,9
5/17/20,1390,28668,8208,28,2770,1894,13758,300,5299,18971,19132,9
5/18/20,1493,29555,8353,29,2802,1917,14242,300,5413,19536,19711,9
5/19/20,1597,30581,8508,30,2866,1946,14821,304,5581,20155,20386,9
5/20/20,1682,31474,8722,31,2895,1963,15122,305,5655,20783,20937,9
5/21/20,1749,32176,8854,31,2926,1999,15444,305,5737,21284,21354,10
5/22/20,1821,32946,8978,31,2954,2015,15865,305,5802,21783,21823,10
5/23/20,1874,33619,9107,36,3008,2044,16192,305,5901,22227,22230,10
