Date,variable,value
2020-03-17,Age-0to17,3
2020-03-18,Age-0to17,4
2020-03-19,Age-0to17,4
2020-03-20,Age-0to17,4
2020-03-21,Age-0to17,5
2020-03-22,Age-0to17,9
2020-03-23,Age-0to17,10
2020-03-24,Age-0to17,10
2020-03-25,Age-0to17,19
2020-03-26,Age-0to17,22
2020-03-27,Age-0to17,27
2020-03-28,Age-0to17,27
2020-03-29,Age-0to17,27
2020-03-30,Age-0to17,27
2020-03-31,Age-0to17,32
2020-04-01,Age-0to17,36
2020-04-02,Age-0to17,40
2020-04-03,Age-0to17,48
2020-04-04,Age-0to17,57
2020-04-05,Age-0to17,59
2020-04-06,Age-0to17,73
2020-04-07,Age-0to17,80
2020-04-08,Age-0to17,81
2020-04-09,Age-0to17,84
2020-04-10,Age-0to17,91
2020-04-11,Age-0to17,95
2020-04-12,Age-0to17,97
2020-04-13,Age-0to17,100
2020-04-14,Age-0to17,104
2020-04-15,Age-0to17,111
2020-04-16,Age-0to17,118
2020-04-17,Age-0to17,125
2020-04-18,Age-0to17,129
2020-04-19,Age-0to17,196
2020-04-20,Age-0to17,247
2020-04-21,Age-0to17,300
2020-04-22,Age-0to17,338
2020-04-23,Age-0to17,369
2020-04-24,Age-0to17,381
2020-04-25,Age-0to17,385
2020-04-26,Age-0to17,444
2020-04-27,Age-0to17,465
2020-04-28,Age-0to17,536
2020-04-29,Age-0to17,554
2020-04-30,Age-0to17,612
2020-05-01,Age-0to17,639
2020-05-02,Age-0to17,673
2020-05-03,Age-0to17,687
2020-05-04,Age-0to17,793
2020-05-05,Age-0to17,844
2020-05-06,Age-0to17,879
2020-05-07,Age-0to17,901
2020-05-08,Age-0to17,949
2020-05-09,Age-0to17,959
2020-05-10,Age-0to17,989
2020-05-11,Age-0to17,1054
2020-05-12,Age-0to17,1117
2020-05-13,Age-0to17,1202
2020-05-14,Age-0to17,1246
2020-05-15,Age-0to17,1312
2020-05-16,Age-0to17,1356
2020-05-17,Age-0to17,1390
2020-05-18,Age-0to17,1493
2020-05-19,Age-0to17,1597
2020-05-20,Age-0to17,1682
2020-05-21,Age-0to17,1749
2020-05-22,Age-0to17,1821
2020-05-23,Age-0to17,1874
2020-05-24,Age-0to17,1981
2020-05-25,Age-0to17,2162
2020-05-26,Age-0to17,2249
2020-05-27,Age-0to17,2321
2020-05-28,Age-0to17,2488
2020-05-29,Age-0to17,2693
2020-05-30,Age-0to17,2832
2020-05-31,Age-0to17,2902
2020-06-01,Age-0to17,2996
2020-06-02,Age-0to17,3084
2020-06-03,Age-0to17,3200
2020-06-04,Age-0to17,3282
2020-06-05,Age-0to17,3373
2020-06-06,Age-0to17,3552
2020-06-07,Age-0to17,3636
2020-06-08,Age-0to17,3740
2020-06-09,Age-0to17,3890
2020-06-10,Age-0to17,4117
2020-06-11,Age-0to17,4289
2020-06-12,Age-0to17,4456
2020-06-13,Age-0to17,4556
2020-06-14,Age-0to17,4644
2020-06-15,Age-0to17,4768
2020-06-16,Age-0to17,5052
2020-06-17,Age-0to17,5157
2020-06-18,Age-0to17,5301
2020-06-19,Age-0to17,5504
2020-06-20,Age-0to17,5686
2020-06-21,Age-0to17,5987
2020-06-22,Age-0to17,6156
2020-06-23,Age-0to17,6221
2020-06-24,Age-0to17,6463
2020-06-25,Age-0to17,6658
2020-06-26,Age-0to17,6877
2020-06-27,Age-0to17,7076
2020-06-28,Age-0to17,7334
2020-06-29,Age-0to17,7604
2020-06-30,Age-0to17,7696
2020-07-01,Age-0to17,7919
2020-07-02,Age-0to17,7919
2020-07-03,Age-0to17,7919
2020-07-04,Age-0to17,8542
2020-07-05,Age-0to17,8686
2020-07-06,Age-0to17,9118
2020-07-07,Age-0to17,9283
2020-07-08,Age-0to17,9391
2020-07-09,Age-0to17,9568
2020-07-10,Age-0to17,9796
2020-07-11,Age-0to17,10137
2020-07-12,Age-0to17,10356
2020-07-13,Age-0to17,10757
2020-07-14,Age-0to17,11032
2020-07-15,Age-0to17,11541
2020-07-16,Age-0to17,11843
2020-07-17,Age-0to17,12110
2020-07-18,Age-0to17,12464
2020-07-19,Age-0to17,12835
2020-07-20,Age-0to17,12963
2020-07-21,Age-0to17,13302
2020-07-22,Age-0to17,13484
2020-07-23,Age-0to17,13484
2020-07-24,Age-0to17,13484
2020-07-25,Age-0to17,13484
2020-07-26,Age-0to17,13484
2020-07-27,Age-0to17,15111
2020-07-28,Age-0to17,15749
2020-07-29,Age-0to17,16067
2020-07-30,Age-0to17,16395
2020-07-31,Age-0to17,16727
2020-08-01,Age-0to17,16900
2020-08-02,Age-0to17,17175
2020-08-03,Age-0to17,17404
2020-08-04,Age-0to17,17684
2020-08-05,Age-0to17,18102
2020-08-06,Age-0to17,18518
2020-08-07,Age-0to17,18870
2020-08-08,Age-0to17,19129
2020-08-09,Age-0to17,19415
2020-08-10,Age-0to17,19571
2020-08-11,Age-0to17,19856
2020-08-12,Age-0to17,20190
2020-08-13,Age-0to17,20502
2020-08-14,Age-0to17,20768
2020-08-15,Age-0to17,20976
2020-08-16,Age-0to17,21152
2020-08-17,Age-0to17,21257
2020-08-18,Age-0to17,21418
2020-08-19,Age-0to17,21631
2020-08-20,Age-0to17,21842
2020-08-21,Age-0to17,21996
2020-08-22,Age-0to17,22164
2020-08-23,Age-0to17,22344
2020-08-24,Age-0to17,22411
2020-08-25,Age-0to17,22602
2020-08-26,Age-0to17,22761
2020-08-27,Age-0to17,22948
2020-08-28,Age-0to17,23076
2020-08-29,Age-0to17,23230
2020-08-30,Age-0to17,23380
2020-08-31,Age-0to17,23464
2020-09-01,Age-0to17,23618
2020-09-02,Age-0to17,23729
2020-09-03,Age-0to17,23897
2020-09-04,Age-0to17,24018
2020-09-05,Age-0to17,24125
2020-09-06,Age-0to17,24173
2020-09-07,Age-0to17,24218
2020-09-08,Age-0to17,24276
2020-09-09,Age-0to17,24418
2020-09-10,Age-0to17,24523
2020-09-11,Age-0to17,24645
2020-09-12,Age-0to17,24745
2020-09-13,Age-0to17,24850
2020-09-14,Age-0to17,24901
2020-09-15,Age-0to17,24987
2020-09-16,Age-0to17,25127
2020-09-17,Age-0to17,25239
2020-09-18,Age-0to17,25396
2020-09-19,Age-0to17,25585
2020-09-20,Age-0to17,25679
2020-09-21,Age-0to17,25729
2020-09-22,Age-0to17,25861
2020-09-23,Age-0to17,26010
2020-09-24,Age-0to17,26155
2020-09-25,Age-0to17,26303
2020-09-26,Age-0to17,26437
2020-09-27,Age-0to17,26513
2020-09-28,Age-0to17,26600
