Date,variable,Cumulative Confirmed Case Count,Newly Confirmed Case Count
3/17/20,Age-0to17,3,3
3/18/20,Age-0to17,4,1
3/19/20,Age-0to17,4,0
3/20/20,Age-0to17,4,0
3/21/20,Age-0to17,5,1
3/22/20,Age-0to17,9,4
3/23/20,Age-0to17,10,1
3/24/20,Age-0to17,10,0
3/25/20,Age-0to17,19,9
3/26/20,Age-0to17,22,3
3/27/20,Age-0to17,27,5
3/28/20,Age-0to17,27,0
3/29/20,Age-0to17,27,0
3/30/20,Age-0to17,27,0
3/31/20,Age-0to17,32,5
4/1/20,Age-0to17,36,4
4/2/20,Age-0to17,40,4
4/3/20,Age-0to17,48,8
4/4/20,Age-0to17,57,9
4/5/20,Age-0to17,59,2
4/6/20,Age-0to17,73,14
4/7/20,Age-0to17,80,7
4/8/20,Age-0to17,81,1
4/9/20,Age-0to17,84,3
4/10/20,Age-0to17,91,7
4/11/20,Age-0to17,95,4
4/12/20,Age-0to17,97,2
4/13/20,Age-0to17,100,3
4/14/20,Age-0to17,104,4
4/15/20,Age-0to17,111,7
4/16/20,Age-0to17,118,7
4/17/20,Age-0to17,125,7
4/18/20,Age-0to17,129,4
4/19/20,Age-0to17,196,67
4/20/20,Age-0to17,247,51
4/21/20,Age-0to17,300,53
4/22/20,Age-0to17,338,38
4/23/20,Age-0to17,369,31
4/24/20,Age-0to17,381,12
4/25/20,Age-0to17,385,4
4/26/20,Age-0to17,444,59
4/27/20,Age-0to17,465,21
4/28/20,Age-0to17,536,71
4/29/20,Age-0to17,554,18
4/30/20,Age-0to17,612,58
5/1/20,Age-0to17,639,27
5/2/20,Age-0to17,673,34
5/3/20,Age-0to17,687,14
5/4/20,Age-0to17,793,106
5/5/20,Age-0to17,844,51
5/6/20,Age-0to17,879,35
5/7/20,Age-0to17,901,22
5/8/20,Age-0to17,949,48
5/9/20,Age-0to17,959,10
5/10/20,Age-0to17,989,30
5/11/20,Age-0to17,1054,65
5/12/20,Age-0to17,1117,63
5/13/20,Age-0to17,1202,85
5/14/20,Age-0to17,1246,44
5/15/20,Age-0to17,1312,66
5/16/20,Age-0to17,1356,44
5/17/20,Age-0to17,1390,34
5/18/20,Age-0to17,1493,103
5/19/20,Age-0to17,1597,104
5/20/20,Age-0to17,1682,85
5/21/20,Age-0to17,1749,67
5/22/20,Age-0to17,1821,72
5/23/20,Age-0to17,1874,53
5/24/20,Age-0to17,1981,107
5/25/20,Age-0to17,2162,181
5/26/20,Age-0to17,2249,87
5/27/20,Age-0to17,2321,72
5/28/20,Age-0to17,2488,167
5/29/20,Age-0to17,2693,205
5/30/20,Age-0to17,2832,139
5/31/20,Age-0to17,2902,70
6/1/20,Age-0to17,2996,94
6/2/20,Age-0to17,3084,88
6/3/20,Age-0to17,3200,116
6/4/20,Age-0to17,3282,82
6/5/20,Age-0to17,3373,91
6/6/20,Age-0to17,3552,179
6/7/20,Age-0to17,3636,84
6/8/20,Age-0to17,3740,104
6/9/20,Age-0to17,3890,150
6/10/20,Age-0to17,4117,227
6/11/20,Age-0to17,4289,172
6/12/20,Age-0to17,4456,167
6/13/20,Age-0to17,4556,100
6/14/20,Age-0to17,4644,88
6/15/20,Age-0to17,4768,124
6/16/20,Age-0to17,5052,284
6/17/20,Age-0to17,5157,105
6/18/20,Age-0to17,5301,144
6/19/20,Age-0to17,5504,203
6/20/20,Age-0to17,5686,182
6/21/20,Age-0to17,5987,301
6/22/20,Age-0to17,6156,169
6/23/20,Age-0to17,6221,65
6/24/20,Age-0to17,6463,242
6/25/20,Age-0to17,6658,195
6/26/20,Age-0to17,6877,219
6/27/20,Age-0to17,7076,199
6/28/20,Age-0to17,7334,258
6/29/20,Age-0to17,7604,270
6/30/20,Age-0to17,7696,92
7/1/20,Age-0to17,7919,223
7/2/20,Age-0to17,7919,0
7/3/20,Age-0to17,7919,0
7/4/20,Age-0to17,8542,623
7/5/20,Age-0to17,8686,144
7/6/20,Age-0to17,9118,432
7/7/20,Age-0to17,9283,165
7/8/20,Age-0to17,9391,108
7/9/20,Age-0to17,9568,177
7/10/20,Age-0to17,9796,228
7/11/20,Age-0to17,10137,341
7/12/20,Age-0to17,10356,219
7/13/20,Age-0to17,10757,401
7/14/20,Age-0to17,11032,275
7/15/20,Age-0to17,11541,509
7/16/20,Age-0to17,11843,302
7/17/20,Age-0to17,12110,267
7/18/20,Age-0to17,12464,354
7/19/20,Age-0to17,12835,371
7/20/20,Age-0to17,12963,128
7/21/20,Age-0to17,13302,339
7/22/20,Age-0to17,13484,182
7/23/20,Age-0to17,13484,0
7/24/20,Age-0to17,13484,0
7/25/20,Age-0to17,13484,0
7/26/20,Age-0to17,13484,0
7/27/20,Age-0to17,15111,1627
7/28/20,Age-0to17,15749,638
7/29/20,Age-0to17,16067,318
7/30/20,Age-0to17,16395,328
7/31/20,Age-0to17,16727,332
8/1/20,Age-0to17,16900,173
8/2/20,Age-0to17,17175,275
8/3/20,Age-0to17,17404,229
8/4/20,Age-0to17,17684,280
8/5/20,Age-0to17,18102,418
8/6/20,Age-0to17,18518,416
8/7/20,Age-0to17,18870,352
8/8/20,Age-0to17,19129,259
8/9/20,Age-0to17,19415,286
8/10/20,Age-0to17,19571,156
8/11/20,Age-0to17,19856,285
8/12/20,Age-0to17,20190,334
8/13/20,Age-0to17,20502,312
8/14/20,Age-0to17,20768,266
8/15/20,Age-0to17,20976,208
8/16/20,Age-0to17,21152,176
8/17/20,Age-0to17,21257,105
8/18/20,Age-0to17,21418,161
8/19/20,Age-0to17,21631,213
8/20/20,Age-0to17,21842,211
8/21/20,Age-0to17,21996,154
8/22/20,Age-0to17,22164,168
8/23/20,Age-0to17,22344,180
8/24/20,Age-0to17,22411,67
8/25/20,Age-0to17,22602,191
