,Date,variable,value
0,2020-03-28,Age-0to17,0
1,2020-03-29,Age-0to17,0
2,2020-03-30,Age-0to17,0
3,2020-03-31,Age-0to17,0
4,2020-04-01,Age-0to17,0
5,2020-04-02,Age-0to17,0
6,2020-04-03,Age-0to17,0
7,2020-04-04,Age-0to17,0
8,2020-04-05,Age-0to17,0
9,2020-04-06,Age-0to17,0
10,2020-04-07,Age-0to17,0
11,2020-04-08,Age-0to17,0
12,2020-04-09,Age-0to17,0
13,2020-04-10,Age-0to17,0
14,2020-04-11,Age-0to17,0
15,2020-04-12,Age-0to17,0
16,2020-04-13,Age-0to17,0
17,2020-04-14,Age-0to17,0
18,2020-04-15,Age-0to17,0
19,2020-04-16,Age-0to17,0
20,2020-04-17,Age-0to17,0
21,2020-04-18,Age-0to17,0
22,2020-04-19,Age-0to17,0
23,2020-04-20,Age-0to17,0
24,2020-04-21,Age-0to17,0
25,2020-04-22,Age-0to17,0
26,2020-04-23,Age-0to17,0
27,2020-04-24,Age-0to17,0
28,2020-04-25,Age-0to17,0
29,2020-04-26,Age-0to17,0
30,2020-04-27,Age-0to17,0
31,2020-04-28,Age-0to17,0
32,2020-04-29,Age-0to17,0
33,2020-04-30,Age-0to17,0
34,2020-05-01,Age-0to17,0
35,2020-05-02,Age-0to17,0
36,2020-05-03,Age-0to17,0
37,2020-05-04,Age-0to17,0
38,2020-05-05,Age-0to17,0
39,2020-05-06,Age-0to17,0
40,2020-05-07,Age-0to17,0
41,2020-05-08,Age-0to17,0
42,2020-05-09,Age-0to17,0
43,2020-05-10,Age-0to17,0
44,2020-05-11,Age-0to17,0
45,2020-05-12,Age-0to17,0
46,2020-05-13,Age-0to17,0
47,2020-05-14,Age-0to17,0
48,2020-05-15,Age-0to17,0
49,2020-05-16,Age-0to17,0
50,2020-05-17,Age-0to17,0
51,2020-05-18,Age-0to17,0
52,2020-05-19,Age-0to17,0
53,2020-05-20,Age-0to17,0
54,2020-05-21,Age-0to17,0
55,2020-05-22,Age-0to17,0
56,2020-05-23,Age-0to17,0
57,2020-05-24,Age-0to17,0
58,2020-05-25,Age-0to17,0
59,2020-05-26,Age-0to17,0
60,2020-05-27,Age-0to17,0
61,2020-05-28,Age-0to17,0
62,2020-05-29,Age-0to17,0
63,2020-05-30,Age-0to17,0
64,2020-05-31,Age-0to17,0
65,2020-06-01,Age-0to17,0
66,2020-06-02,Age-0to17,0
67,2020-06-03,Age-0to17,0
68,2020-06-04,Age-0to17,0
69,2020-06-05,Age-0to17,0
70,2020-06-06,Age-0to17,0
71,2020-06-07,Age-0to17,0
72,2020-06-08,Age-0to17,0
73,2020-06-09,Age-0to17,0
74,2020-06-10,Age-0to17,0
75,2020-06-11,Age-0to17,0
76,2020-06-12,Age-0to17,0
77,2020-06-13,Age-0to17,0
78,2020-06-14,Age-0to17,0
79,2020-06-15,Age-0to17,0
80,2020-06-16,Age-0to17,0
81,2020-06-17,Age-0to17,0
82,2020-06-18,Age-0to17,0
83,2020-06-19,Age-0to17,0
84,2020-06-20,Age-0to17,0
85,2020-06-21,Age-0to17,0
86,2020-06-22,Age-0to17,0
87,2020-06-23,Age-0to17,0
88,2020-06-24,Age-0to17,0
89,2020-06-25,Age-0to17,0
90,2020-06-26,Age-0to17,0
91,2020-06-27,Age-0to17,0
92,2020-06-28,Age-0to17,0
93,2020-06-29,Age-0to17,0
94,2020-06-30,Age-0to17,0
95,2020-07-01,Age-0to17,0
96,2020-07-02,Age-0to17,0
97,2020-07-03,Age-0to17,0
98,2020-07-04,Age-0to17,0
99,2020-07-05,Age-0to17,0
100,2020-07-06,Age-0to17,0
101,2020-07-07,Age-0to17,0
102,2020-07-08,Age-0to17,0
103,2020-07-09,Age-0to17,0
104,2020-07-10,Age-0to17,0
105,2020-07-11,Age-0to17,0
106,2020-07-12,Age-0to17,0
107,2020-07-13,Age-0to17,0
108,2020-07-14,Age-0to17,0
109,2020-07-15,Age-0to17,0
110,2020-07-16,Age-0to17,0
111,2020-07-17,Age-0to17,0
112,2020-07-18,Age-0to17,0
113,2020-07-19,Age-0to17,0
114,2020-07-20,Age-0to17,0
115,2020-07-21,Age-0to17,0
116,2020-07-22,Age-0to17,0
117,2020-07-23,Age-0to17,0
118,2020-07-24,Age-0to17,0
119,2020-07-25,Age-0to17,0
120,2020-07-26,Age-0to17,0
121,2020-07-27,Age-0to17,0
122,2020-07-28,Age-0to17,0
123,2020-07-29,Age-0to17,0
124,2020-07-30,Age-0to17,0
125,2020-07-31,Age-0to17,0
126,2020-08-01,Age-0to17,0
127,2020-08-02,Age-0to17,0
128,2020-08-03,Age-0to17,0
129,2020-08-04,Age-0to17,0
130,2020-08-05,Age-0to17,0
131,2020-08-06,Age-0to17,0
132,2020-08-07,Age-0to17,0
133,2020-08-08,Age-0to17,0
