Date,variable,Cumulative Death Count,Newly Reported Death Count
2020-03-28,Age-0to17,0,0
2020-03-29,Age-0to17,0,0
2020-03-30,Age-0to17,0,0
2020-03-31,Age-0to17,0,0
2020-04-01,Age-0to17,0,0
2020-04-02,Age-0to17,0,0
2020-04-03,Age-0to17,0,0
2020-04-04,Age-0to17,0,0
2020-04-05,Age-0to17,0,0
2020-04-06,Age-0to17,0,0
2020-04-07,Age-0to17,0,0
2020-04-08,Age-0to17,0,0
2020-04-09,Age-0to17,0,0
2020-04-10,Age-0to17,0,0
2020-04-11,Age-0to17,0,0
2020-04-12,Age-0to17,0,0
2020-04-13,Age-0to17,0,0
2020-04-14,Age-0to17,0,0
2020-04-15,Age-0to17,0,0
2020-04-16,Age-0to17,0,0
2020-04-17,Age-0to17,0,0
2020-04-18,Age-0to17,0,0
2020-04-19,Age-0to17,0,0
2020-04-20,Age-0to17,0,0
2020-04-21,Age-0to17,0,0
2020-04-22,Age-0to17,0,0
2020-04-23,Age-0to17,0,0
2020-04-24,Age-0to17,0,0
2020-04-25,Age-0to17,0,0
2020-04-26,Age-0to17,0,0
2020-04-27,Age-0to17,0,0
2020-04-28,Age-0to17,0,0
2020-04-29,Age-0to17,0,0
2020-04-30,Age-0to17,0,0
2020-05-01,Age-0to17,0,0
2020-05-02,Age-0to17,0,0
2020-05-03,Age-0to17,0,0
2020-05-04,Age-0to17,0,0
2020-05-05,Age-0to17,0,0
2020-05-06,Age-0to17,0,0
2020-05-07,Age-0to17,0,0
2020-05-08,Age-0to17,0,0
2020-05-09,Age-0to17,0,0
2020-05-10,Age-0to17,0,0
2020-05-11,Age-0to17,0,0
2020-05-12,Age-0to17,0,0
2020-05-13,Age-0to17,0,0
2020-05-14,Age-0to17,0,0
2020-05-15,Age-0to17,0,0
2020-05-16,Age-0to17,0,0
2020-05-17,Age-0to17,0,0
2020-05-18,Age-0to17,0,0
2020-05-19,Age-0to17,0,0
2020-05-20,Age-0to17,0,0
2020-05-21,Age-0to17,0,0
2020-05-22,Age-0to17,0,0
2020-05-23,Age-0to17,0,0
2020-05-24,Age-0to17,0,0
2020-05-25,Age-0to17,0,0
2020-05-26,Age-0to17,0,0
2020-05-27,Age-0to17,0,0
2020-05-28,Age-0to17,0,0
2020-05-29,Age-0to17,0,0
2020-05-30,Age-0to17,0,0
2020-05-31,Age-0to17,0,0
2020-06-01,Age-0to17,0,0
2020-06-02,Age-0to17,0,0
2020-06-03,Age-0to17,0,0
2020-06-04,Age-0to17,0,0
2020-06-05,Age-0to17,0,0
2020-06-06,Age-0to17,0,0
2020-06-07,Age-0to17,0,0
2020-06-08,Age-0to17,0,0
2020-06-09,Age-0to17,0,0
2020-06-10,Age-0to17,0,0
2020-06-11,Age-0to17,0,0
2020-06-12,Age-0to17,0,0
2020-06-13,Age-0to17,0,0
2020-06-14,Age-0to17,0,0
2020-06-15,Age-0to17,0,0
2020-06-16,Age-0to17,0,0
2020-06-17,Age-0to17,0,0
2020-06-18,Age-0to17,0,0
2020-06-19,Age-0to17,0,0
2020-06-20,Age-0to17,0,0
2020-06-21,Age-0to17,0,0
2020-06-22,Age-0to17,0,0
2020-06-23,Age-0to17,0,0
2020-06-24,Age-0to17,0,0
2020-06-25,Age-0to17,0,0
2020-06-26,Age-0to17,0,0
2020-06-27,Age-0to17,0,0
2020-06-28,Age-0to17,0,0
2020-06-29,Age-0to17,0,0
2020-06-30,Age-0to17,0,0
2020-07-01,Age-0to17,0,0
2020-07-02,Age-0to17,0,0
2020-07-03,Age-0to17,0,0
2020-07-04,Age-0to17,0,0
2020-07-05,Age-0to17,0,0
2020-07-06,Age-0to17,0,0
2020-07-07,Age-0to17,0,0
2020-07-08,Age-0to17,0,0
2020-07-09,Age-0to17,0,0
2020-07-10,Age-0to17,0,0
2020-07-11,Age-0to17,0,0
2020-07-12,Age-0to17,0,0
2020-07-13,Age-0to17,0,0
2020-07-14,Age-0to17,0,0
2020-07-15,Age-0to17,0,0
2020-07-16,Age-0to17,0,0
2020-07-17,Age-0to17,0,0
2020-07-18,Age-0to17,0,0
2020-07-19,Age-0to17,0,0
2020-07-20,Age-0to17,0,0
2020-07-21,Age-0to17,0,0
2020-07-22,Age-0to17,0,0
2020-07-23,Age-0to17,0,0
2020-07-24,Age-0to17,0,0
2020-07-25,Age-0to17,0,0
2020-07-26,Age-0to17,0,0
2020-07-27,Age-0to17,0,0
2020-07-28,Age-0to17,0,0
2020-07-29,Age-0to17,0,0
2020-07-30,Age-0to17,0,0
2020-07-31,Age-0to17,0,0
2020-08-01,Age-0to17,0,0
2020-08-02,Age-0to17,0,0
2020-08-03,Age-0to17,0,0
2020-08-04,Age-0to17,0,0
2020-08-05,Age-0to17,0,0
2020-08-06,Age-0to17,0,0
2020-08-07,Age-0to17,0,0
2020-08-08,Age-0to17,0,0
2020-08-09,Age-0to17,0,0
2020-08-10,Age-0to17,0,0
2020-08-11,Age-0to17,0,0
2020-08-12,Age-0to17,0,0
2020-08-13,Age-0to17,0,0
2020-08-14,Age-0to17,0,0
2020-08-15,Age-0to17,0,0
2020-08-16,Age-0to17,0,0
2020-08-17,Age-0to17,0,0
2020-08-18,Age-0to17,0,0
2020-08-19,Age-0to17,0,0
2020-08-20,Age-0to17,0,0
2020-08-21,Age-0to17,0,0
2020-08-22,Age-0to17,0,0
2020-08-23,Age-0to17,0,0
2020-08-24,Age-0to17,0,0
2020-08-25,Age-0to17,0,0
2020-08-26,Age-0to17,0,0
2020-08-27,Age-0to17,0,0
2020-08-28,Age-0to17,0,0
2020-08-29,Age-0to17,0,0
2020-08-30,Age-0to17,0,0
2020-08-31,Age-0to17,0,0
2020-09-01,Age-0to17,0,0
2020-09-02,Age-0to17,0,0
2020-09-03,Age-0to17,0,0
2020-09-04,Age-0to17,0,0
2020-09-05,Age-0to17,0,0
2020-09-06,Age-0to17,0,0
2020-09-07,Age-0to17,0,0
2020-09-08,Age-0to17,0,0
2020-09-09,Age-0to17,0,0
2020-09-10,Age-0to17,0,0
2020-09-11,Age-0to17,0,0
2020-09-12,Age-0to17,0,0
2020-09-13,Age-0to17,0,0
2020-09-14,Age-0to17,0,0
2020-09-15,Age-0to17,0,0
2020-09-16,Age-0to17,0,0
2020-09-17,Age-0to17,0,0
2020-09-18,Age-0to17,0,0
2020-09-19,Age-0to17,0,0
2020-09-20,Age-0to17,0,0
2020-09-21,Age-0to17,0,0
2020-09-22,Age-0to17,0,0
2020-09-23,Age-0to17,0,0
2020-09-24,Age-0to17,0,0
2020-09-25,Age-0to17,0,0
2020-09-26,Age-0to17,0,0
